"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","952","Статус 500. Передача несуществующего id компании","","Tue May 06 19:48:37 GMT 2025","passed","Tue May 06 19:48:38 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentCompanyId"
"","1118","Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:48:29 GMT 2025","passed","Tue May 06 19:48:30 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkCorrectJson"
"","1128","Статус 400. Передан пустой lastName","","Tue May 06 19:48:28 GMT 2025","passed","Tue May 06 19:48:29 GMT 2025","","tests.api.xclients.contracts.ContractPathTest","tests.api.xclients.contracts.ContractPathTest","checkNullLastName"
"","1159","Валидация измененных полей","","Tue May 06 19:48:47 GMT 2025","passed","Tue May 06 19:48:48 GMT 2025","","tests.api.xclients.business.BusinessPathTest","tests.api.xclients.business.BusinessPathTest","checkChangeEmployee"
"","0","Запрос по компании. Проверяем, что в ответе приходит JSON-файл","","Tue May 06 19:48:24 GMT 2025","skipped","Tue May 06 19:48:24 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetJsonCompanyId"
"Добавляем три товара в корзину и сравниваем их сумму + налог с итоговой суммой корзиныпод разными пользователями","1649","Проверка итоговой суммы корзины [1] Авторизоваться как standard_user","","Tue May 06 19:48:05 GMT 2025","passed","Tue May 06 19:48:06 GMT 2025","","tests.ui.saucedemo.ShoppingCartTest","tests.ui.saucedemo.ShoppingCartTest","compareTotalSumAndSumProductsWithTax"
"","761","Проверяем поля JSON-файла","","Tue May 06 19:48:38 GMT 2025","passed","Tue May 06 19:48:39 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","checkFiledJsonFile"
"","963","Статус 200. Получение сотрудника по id","","Tue May 06 19:48:23 GMT 2025","passed","Tue May 06 19:48:24 GMT 2025","","tests.api.xclients.contracts.ContractGetTest","tests.api.xclients.contracts.ContractGetTest","checkGetEmployeeId"
"","1089","Статус 401. Передача неверного токена","","Tue May 06 19:48:42 GMT 2025","passed","Tue May 06 19:48:43 GMT 2025","","tests.api.xclients.contracts.ContractPostTest","tests.api.xclients.contracts.ContractPostTest","nonexistentUserToken"
"","1024","Валидация ответа запроса на получение сотрудника по id","","Tue May 06 19:48:53 GMT 2025","passed","Tue May 06 19:48:54 GMT 2025","","tests.api.xclients.business.BusinessGetTest","tests.api.xclients.business.BusinessGetTest","checkValidateResponseGetEmployeeId"
